"","pt","nEvents","start","end","rbm","rst","rowID","pt.samp","rbm.samp","rst.samp","pts","rbms","rsts","pt.samp.s","rbm.samp.s","rst.samp.s","ite_pt_rst","ite_rbm_rst","ite_pt_rbm","males_PT","males_RST","males_RBM","size_PT","size_RBM","size_RST","Date","NDVI.Int","ndvi","ndvi.s","yday","yday.s","ite_pt_rst.s","ite_rbm_rst.s","ite_pt_rbm.s","males_PT.s","males_RST.s","males_RBM.s","size_PT.s","size_RST.s","size_RBM.s"
"1",0.117234341800213,333,2015-01-02,2015-03-03,0.272969484329224,0.289061516523361,1,639,730,763,-2.18975559257316,-1.17894230585141,-0.560227254486955,-0.00351836053553486,0.701329553832717,0.520483511166172,15,29,47,4,14,12,10,13,16,2015-02-01,NA,NA,NA,32,-1.44775307193307,-0.456772015773842,2.15097454563396,-0.728628015553135,-1.0308609933142,-0.38733272293021,-0.0622148211236766,-0.557971529515743,-0.33712480853738,-0.313046624210115
"2",0.251181483268738,276,2015-02-01,2015-04-02,0.25774621963501,0.305631995201111,2,603,659,729,-0.52452659397563,-1.37870864251852,-0.359933645418134,-0.338797423333598,0.0688858833569817,0.275982506534841,17,19,68,4,15,11,11,13,16,2015-03-03,0.479937875,0.479937875,0.141275382584308,62,-1.15534334016921,-0.355267123379655,0.893911499484245,0.199341626896613,-1.0308609933142,-0.145249771098829,-0.217751873932868,-0.296422375055239,-0.33712480853738,-0.313046624210115
"3",0.145922228693962,334,2015-03-03,2015-05-02,0.26237690448761,0.33196610212326,3,650,732,743,-1.8331081819587,-1.31794277081851,-0.0416233889905934,0.0989280197638735,0.719144868494006,0.376659390794801,25,25,63,5,16,11,11,13,16,2015-04-02,0.672390563,0.672390563,2.31502184295723,92,-0.86293360840535,0.0507524461970936,1.64814932717408,-0.0216035260676131,-0.881701042513109,0.0968331807325525,-0.217751873932868,-0.296422375055239,-0.33712480853738,-0.313046624210115
"4",0.153163567185402,394,2015-04-02,2015-06-01,0.167360752820969,0.361202418804169,4,754,840,831,-1.74308396261066,-2.56478626489935,0.311766968510735,1.06751197895828,1.68117186020358,1.00948552042883,19,22,53,5,16,10,9,13,16,2015-05-02,NA,0.6266959065,1.79890227685986,122,-0.570523876641489,-0.253762230985468,1.27103041332916,-0.463493831996064,-0.881701042513109,0.0968331807325525,-0.373288926742059,-0.819520683976248,-0.33712480853738,-0.313046624210115
"5",0.169473081827164,332,2015-05-02,2015-07-01,0.353989452123642,0.391971349716187,5,618,635,658,-1.5403243035634,-0.115762857271668,0.683682610744565,-0.199097813834405,-0.144897892578478,-0.234593120783525,10,9,55,4,14,10,9,13,18,2015-06-01,0.58100125,0.58100125,1.2827827107625,152,-0.278114144877628,-0.71053424675931,-0.363151546665475,-0.375115770810374,-1.0308609933142,-0.38733272293021,-0.373288926742059,-0.819520683976248,0.144482060801735,-0.313046624210115
"6",0.34758996963501,301,2015-06-01,2015-07-31,0.510898768901825,0.446539431810379,6,597,591,607,0.674022366815256,1.94326981616203,1.34326754580655,-0.394677267133276,-0.536834815126822,-0.601344627730521,16,9,68,4,13,9,9,14,20,2015-07-01,0.516167875,0.516167875,0.550491980584284,182,0.0142955868862332,-0.406019569576749,-0.363151546665475,0.199341626896613,-1.0308609933142,-0.629415674761591,-0.528825979551251,-0.819520683976248,0.626088930140849,-0.105883417012245
"7",0.393913418054581,448,2015-07-01,2015-08-30,0.453676611185074,0.442443460226059,7,737,769,769,1.24991483288503,1.19237563854141,1.2937579964917,0.909185754859194,1.04872818972784,0.563630747277583,24,10,76,3,13,9,9,14,20,2015-07-31,NA,0.538223187666667,0.799605974988896,212,0.306705318650094,0,-0.237445242050503,0.552853871639374,-1.18002094411529,-0.629415674761591,-0.528825979551251,-0.819520683976248,0.626088930140849,-0.105883417012245
"8",0.347068816423416,470,2015-07-31,2015-09-29,0.361210554838181,0.356312155723572,8,693,708,753,0.667543397341601,-0.0210043895608259,0.252656519093,0.499400233661561,0.505361092558546,0.448571450980486,22,8,48,4,13,9,8,14,18,2015-08-30,NA,0.560278500333333,1.04871996939351,242,0.599115050413956,-0.101504892394187,-0.488857851280446,-0.68443898496029,-1.0308609933142,-0.629415674761591,-0.528825979551251,-1.08106983843675,0.144482060801735,-0.105883417012245
"9",0.291014850139618,367,2015-08-30,2015-10-29,0.361769020557404,0.291944533586502,9,684,674,735,-0.0293187313968658,-0.0136759581681992,-0.525379142744784,0.415580467962045,0.202500743316644,0.319129742646253,23,10,62,4,13,9,8,15,17,2015-09-29,0.582333813,0.582333813,1.29783396379812,272,0.891524782177817,-0.0507524461970936,-0.237445242050503,-0.0657925566604582,-1.0308609933142,-0.629415674761591,-0.528825979551251,-1.08106983843675,-0.0963213738678226,0.101279790185625
"10",0.287928760051727,295,2015-09-29,2015-11-28,0.260241657495499,0.212664276361465,10,663,727,756,-0.0676849604204799,-1.3459624156228,-1.48366943455327,0.220001014663174,0.674606581840785,0.470145069036192,21,15,75,3,13,11,8,14,16,2015-10-29,NA,0.5457138285,0.884212504347338,302,1.18393451394168,-0.152257338591281,0.391086281024357,0.508664841046529,-1.18002094411529,-0.629415674761591,-0.217751873932868,-1.08106983843675,-0.33712480853738,-0.105883417012245
