"","pt","nEvents","start","end","rbm","rst","rowID","pt.samp","rbm.samp","rst.samp","pts","rbms","rsts","pt.samp.s","rbm.samp.s","rst.samp.s","Date","NDVI.Int","ndvi","ite_pt_rst","ite_rbm_rst","ite_pt_rbm","males_PT","males_RST","males_RBM","size_PT","size_RST","size_RBM","males_PT.s","males_RST.s","males_RBM.s","ite_pt_rst.s","ite_rbm_rst.s","ite_pt_rbm.s","yday","yday.s","ndvi.s"
"1",37,333,2015-01-02,2015-03-03,38.7826086956522,23.0714285714286,1,639,730,763,0.175229389849436,1.12189697587719,-0.192853780605914,-0.00351836053553486,0.701329553832717,0.520483511166172,2015-02-01,NA,NA,15,29,47,4,14,12,10,16,13,-1.0308609933142,-0.38733272293021,-0.0622148211236766,-0.456772015773842,2.15097454563396,-0.728628015553135,32,-1.44775307193307,NA
"2",30.6666666666667,276,2015-02-01,2015-04-02,29.4166666666667,17.8571428571429,2,603,659,729,-0.31329680692772,0.263471029766024,-0.681991892048258,-0.338797423333598,0.0688858833569817,0.275982506534841,2015-03-03,0.479937875,0.479937875,17,19,68,4,15,11,11,16,13,-1.0308609933142,-0.145249771098829,-0.217751873932868,-0.355267123379655,0.893911499484245,0.199341626896613,62,-1.15534334016921,0.141275382584308
"3",37.1111111111111,334,2015-03-03,2015-05-02,30.75,16.1428571428571,3,650,732,743,0.183800024880615,0.385676348206608,-0.842804421837523,0.0989280197638735,0.719144868494006,0.376659390794801,2015-04-02,0.672390563,0.672390563,25,25,63,5,16,11,11,16,13,-0.881701042513109,0.0968331807325525,-0.217751873932868,0.0507524461970936,1.64814932717408,-0.0216035260676131,92,-0.86293360840535,2.31502184295723
"4",46.3529411764706,394,2015-04-02,2015-06-01,33.25,15.8571428571429,4,754,840,831,0.896675197473906,0.614811320282702,-0.869606510135733,1.06751197895828,1.68117186020358,1.00948552042883,2015-05-02,NA,0.6266959065,19,22,53,5,16,10,9,16,13,-0.881701042513109,0.0968331807325525,-0.373288926742059,-0.253762230985468,1.27103041332916,-0.463493831996064,122,-0.570523876641489,1.79890227685986
"5",39.0588235294118,332,2015-05-02,2015-07-01,23,12,5,618,635,658,0.33403821542715,-0.324642065229284,-1.23143470216158,-0.199097813834405,-0.144897892578478,-0.234593120783525,2015-06-01,0.58100125,0.58100125,10,9,55,4,14,10,9,18,13,-1.0308609933142,-0.38733272293021,-0.373288926742059,-0.71053424675931,-0.363151546665475,-0.375115770810374,152,-0.278114144877628,1.2827827107625
"6",35.4117647058824,301,2015-06-01,2015-07-31,17.25,10.5714285714286,6,597,591,607,0.0527197244037719,-0.8516525010043,-1.36544514365263,-0.394677267133276,-0.536834815126822,-0.601344627730521,2015-07-01,0.516167875,0.516167875,16,9,68,4,13,9,9,20,14,-1.0308609933142,-0.629415674761591,-0.528825979551251,-0.406019569576749,-0.363151546665475,0.199341626896613,182,0.0142955868862332,0.550491980584284
"7",52.7058823529412,448,2015-07-01,2015-08-30,32.1666666666667,20.1379310344828,7,737,769,769,1.38671385925656,0.515519499049727,-0.468037290633232,0.909185754859194,1.04872818972784,0.563630747277583,2015-07-31,NA,0.538223187666667,24,10,76,3,13,9,9,20,14,-1.18002094411529,-0.629415674761591,-0.528825979551251,0,-0.237445242050503,0.552853871639374,212,0.306705318650094,0.799605974988896
"8",58.75,470,2015-07-31,2015-09-29,35.6666666666667,25.1428571428571,8,693,708,753,1.85293119720257,0.836308459956259,0.00146135955611372,0.499400233661561,0.505361092558546,0.448571450980486,2015-08-30,NA,0.560278500333333,22,8,48,4,13,9,8,18,14,-1.0308609933142,-0.629415674761591,-0.528825979551251,-0.101504892394187,-0.488857851280446,-0.68443898496029,242,0.599115050413956,1.04871996939351
"9",45.875,367,2015-08-30,2015-10-29,26.9166666666667,22.2307692307692,9,684,674,735,0.859808862964794,0.0343360576899304,-0.271713771175649,0.415580467962045,0.202500743316644,0.319129742646253,2015-09-29,0.582333813,0.582333813,23,10,62,4,13,9,8,17,15,-1.0308609933142,-0.629415674761591,-0.528825979551251,-0.0507524461970936,-0.237445242050503,-0.0657925566604582,272,0.891524782177817,1.29783396379812
"10",36.875,295,2015-09-29,2015-11-28,23.84,21.4615384615385,10,663,727,756,0.165587425439361,-0.247652714611716,-0.343873239670832,0.220001014663174,0.674606581840785,0.470145069036192,2015-10-29,NA,0.5457138285,21,15,75,3,13,11,8,16,14,-1.18002094411529,-0.629415674761591,-0.217751873932868,-0.152257338591281,0.391086281024357,0.508664841046529,302,1.18393451394168,0.884212504347338
"11",31.125,249,2015-10-29,2015-12-28,21.9259259259259,19.2142857142857,11,566,616,687,-0.27794293742411,-0.423085238417531,-0.554681972631758,-0.683389793431608,-0.314143381860717,-0.0260481462450375,2015-11-28,NA,0.509093844,17,17,51,4,14,11,8,16,13,-1.0308609933142,-0.38733272293021,-0.217751873932868,-0.355267123379655,0.642498890254301,-0.551871893181755,332,1.47634424570554,0.470591044896556
"12",30.875,247,2015-11-28,2016-01-27,22.2307692307692,18,12,510,526,644,-0.297226866244261,-0.395145133560389,-0.668590847899153,-1.2049350022286,-1.11583254161869,-0.335270005043485,2015-12-28,NA,0.4724738595,27,19,50,4,15,9,9,17,14,-1.0308609933142,-0.145249771098829,-0.528825979551251,0.152257338591281,0.893911499484245,-0.5960609237746,362,1.7687539774694,0.0569695854457733
"13",36.875,295,2015-12-28,2016-02-26,23.0769230769231,23.1333333333333,13,648,648,720,0.165587425439361,-0.317591758396173,-0.187046661474635,0.080301405163981,-0.0290983472801041,0.211261652367724,2016-01-27,0.435853875,0.435853875,46,22,64,4,15,9,10,18,14,-1.0308609933142,-0.145249771098829,-0.528825979551251,1.11655381633606,1.27103041332916,0.022585504525232,27,-1.49648802722705,-0.356651874005009
"14",32.125,257,2016-01-27,2016-03-27,23.1538461538462,23.3333333333333,14,552,605,690,-0.200807222143506,-0.310541451563062,-0.168285199665887,-0.813776095630855,-0.412127612497803,-0.00447452818933183,2016-02-26,NA,0.45390621875,42,21,71,4,14,9,9,17,12,-1.0308609933142,-0.38733272293021,-0.528825979551251,0.913544031547684,1.14532410871419,0.331908718675148,57,-1.20407829546319,-0.152751275183559
